trip_id,route_id,service_id,trip_headsign,trip_short_name,direction_id,block_id,shape_id,wheelchair_accessible,bikes_allowed
TB4-TB334-1-8-2634232060,TB4,2634232060,Ж.К. ГОЦЕ ДЕЛЧЕВ,,,TB412634232060,TB334,0,0
TB4-TB192-3-22-2634232060,TB4,2634232060,ПЛ. СТОЧНА ГАРА,,,TB432634232060,TB192,0,0
TB4-TB334-2-4-2634232060,TB4,2634232060,Ж.К. ГОЦЕ ДЕЛЧЕВ,,,TB422634232060,TB334,0,0
TB4-TB334-2-14-2634232060,TB4,2634232060,Ж.К. ГОЦЕ ДЕЛЧЕВ,,,TB422634232060,TB334,0,0
TM28-TM250-2-8-25727419830,TM28,25727419830,КВ. ОРЛАНДОВЦИ,,,TM28225727419830,TM250,0,0
TB4-TB334-3-13-2634232060,TB4,2634232060,Ж.К. ГОЦЕ ДЕЛЧЕВ,,,TB432634232060,TB334,0,0
TB4-TB578-3-26-2634232060,TB4,2634232060,УЛ. ГЕН. ГУРКО,,,TB432634232060,TB578,0,0
TB4-TB334-3-21-2634232060,TB4,2634232060,Ж.К. ГОЦЕ ДЕЛЧЕВ,,,TB432634232060,TB334,0,0
TM28-TM250-3-17-25727419830,TM28,25727419830,КВ. ОРЛАНДОВЦИ,,,TM28325727419830,TM250,0,0
TB4-TB192-4-10-2634232060,TB4,2634232060,ПЛ. СТОЧНА ГАРА,,,TB442634232060,TB192,0,0
TM28-TM251-1-18-25727419830,TM28,25727419830,Гара Захарна фабрика,,,TM28125727419830,TM251,0,0
TB4-TB192-1-23-2634232060,TB4,2634232060,ПЛ. СТОЧНА ГАРА,,,TB412634232060,TB192,0,0
TB4-TB334-2-16-2634232060,TB4,2634232060,Ж.К. ГОЦЕ ДЕЛЧЕВ,,,TB422634232060,TB334,0,0
TB4-TB334-1-18-2634232060,TB4,2634232060,Ж.К. ГОЦЕ ДЕЛЧЕВ,,,TB412634232060,TB334,0,0
TB4-TB73-3-2-2634232060,TB4,2634232060,ПЛ. СТОЧНА ГАРА,,,TB432634232060,TB73,0,0
TB4-TB192-4-16-2634232060,TB4,2634232060,ПЛ. СТОЧНА ГАРА,,,TB442634232060,TB192,0,0
TB4-TB334-1-10-2634232060,TB4,2634232060,Ж.К. ГОЦЕ ДЕЛЧЕВ,,,TB412634232060,TB334,0,0
TB4-TB334-4-5-2634232060,TB4,2634232060,Ж.К. ГОЦЕ ДЕЛЧЕВ,,,TB442634232060,TB334,0,0
TB4-TB73-4-2-2634232060,TB4,2634232060,ПЛ. СТОЧНА ГАРА,,,TB442634232060,TB73,0,0
TB4-TB192-3-24-2634232060,TB4,2634232060,ПЛ. СТОЧНА ГАРА,,,TB432634232060,TB192,0,0
TB4-TB192-3-18-2634232060,TB4,2634232060,ПЛ. СТОЧНА ГАРА,,,TB432634232060,TB192,0,0
TB33-TB890-2-18-8123784820,TB33,8123784820,село Герман,,,,TB890,0,0
TB4-TB192-2-7-2634232060,TB4,2634232060,ПЛ. СТОЧНА ГАРА,,,TB422634232060,TB192,0,0
TB4-TB192-1-9-2634232060,TB4,2634232060,ПЛ. СТОЧНА ГАРА,,,TB412634232060,TB192,0,0
TB4-TB334-3-25-2634232060,TB4,2634232060,Ж.К. ГОЦЕ ДЕЛЧЕВ,,,TB432634232060,TB334,0,0
TB4-TB192-1-11-2634232060,TB4,2634232060,ПЛ. СТОЧНА ГАРА,,,TB412634232060,TB192,0,0
TB4-TB192-4-22-2634232060,TB4,2634232060,ПЛ. СТОЧНА ГАРА,,,TB442634232060,TB192,0,0
TB4-TB192-4-12-2634232060,TB4,2634232060,ПЛ. СТОЧНА ГАРА,,,TB442634232060,TB192,0,0
TB4-TB334-4-17-2634232060,TB4,2634232060,Ж.К. ГОЦЕ ДЕЛЧЕВ,,,TB442634232060,TB334,0,0
TB4-TB192-1-5-2634232060,TB4,2634232060,ПЛ. СТОЧНА ГАРА,,,TB412634232060,TB192,0,0
TB4-TB192-3-10-2634232060,TB4,2634232060,ПЛ. СТОЧНА ГАРА,,,TB432634232060,TB192,0,0
TB4-TB192-2-13-2634232060,TB4,2634232060,ПЛ. СТОЧНА ГАРА,,,TB422634232060,TB192,0,0
TB4-TB192-2-15-2634232060,TB4,2634232060,ПЛ. СТОЧНА ГАРА,,,TB422634232060,TB192,0,0
A99-A1316-4-13-35998379791,A99,35998379791,ЛЕТИЩЕ СОФИЯ ТЕРМИНАЛ 2,,,A99435998379791,A1316,0,0
A99-A1316-2-26-35998379791,A99,35998379791,ЛЕТИЩЕ СОФИЯ ТЕРМИНАЛ 2,,,A99235998379791,A1316,0,0
A99-A1316-6-17-35998379791,A99,35998379791,ЛЕТИЩЕ СОФИЯ ТЕРМИНАЛ 2,,,A99635998379791,A1316,0,0
A99-A1316-5-14-35998379791,A99,35998379791,ЛЕТИЩЕ СОФИЯ ТЕРМИНАЛ 2,,,A99535998379791,A1316,0,0
A99-A3858-1-7-35998379791,A99,35998379791,УЛ. ГЕН. ГУРКО,,,A99135998379791,A3858,0,0
TB4-TB192-1-7-2634232060,TB4,2634232060,ПЛ. СТОЧНА ГАРА,,,TB412634232060,TB192,0,0
A99-A1316-6-15-35998379791,A99,35998379791,ЛЕТИЩЕ СОФИЯ ТЕРМИНАЛ 2,,,A99635998379791,A1316,0,0
A99-A1316-1-28-35998379791,A99,35998379791,ЛЕТИЩЕ СОФИЯ ТЕРМИНАЛ 2,,,A99135998379791,A1316,0,0
A99-A1316-4-19-35998379791,A99,35998379791,ЛЕТИЩЕ СОФИЯ ТЕРМИНАЛ 2,,,A99435998379791,A1316,0,0
A99-A1316-6-7-35998379791,A99,35998379791,ЛЕТИЩЕ СОФИЯ ТЕРМИНАЛ 2,,,A99635998379791,A1316,0,0
A99-A3858-3-13-35998379791,A99,35998379791,УЛ. ГЕН. ГУРКО,,,A99335998379791,A3858,0,0
A99-A1316-6-21-35998379791,A99,35998379791,ЛЕТИЩЕ СОФИЯ ТЕРМИНАЛ 2,,,A99635998379791,A1316,0,0
TB4-TB334-4-11-2634232060,TB4,2634232060,Ж.К. ГОЦЕ ДЕЛЧЕВ,,,TB442634232060,TB334,0,0
A99-A3858-5-21-35998379791,A99,35998379791,УЛ. ГЕН. ГУРКО,,,A99535998379791,A3858,0,0
A99-A3858-1-19-35998379791,A99,35998379791,УЛ. ГЕН. ГУРКО,,,A99135998379791,A3858,0,0
A99-A3858-3-15-35998379791,A99,35998379791,УЛ. ГЕН. ГУРКО,,,A99335998379791,A3858,0,0
A99-A1316-5-4-35998379791,A99,35998379791,ЛЕТИЩЕ СОФИЯ ТЕРМИНАЛ 2,,,A99535998379791,A1316,0,0
A99-A3858-1-17-35998379791,A99,35998379791,УЛ. ГЕН. ГУРКО,,,A99135998379791,A3858,0,0
A99-A1316-3-4-35998379791,A99,35998379791,ЛЕТИЩЕ СОФИЯ ТЕРМИНАЛ 2,,,A99335998379791,A1316,0,0
A99-A1316-4-23-35998379791,A99,35998379791,ЛЕТИЩЕ СОФИЯ ТЕРМИНАЛ 2,,,A99435998379791,A1316,0,0
A99-A3858-5-23-35998379791,A99,35998379791,УЛ. ГЕН. ГУРКО,,,A99535998379791,A3858,0,0
A99-A1316-3-10-35998379791,A99,35998379791,ЛЕТИЩЕ СОФИЯ ТЕРМИНАЛ 2,,,A99335998379791,A1316,0,0
A99-A3858-2-5-35998379791,A99,35998379791,УЛ. ГЕН. ГУРКО,,,A99235998379791,A3858,0,0
